"","for.Jan.StC.NBS","for.Feb.StC.NBS","for.Mar.StC.NBS","for.Apr.StC.NBS","for.May.StC.NBS","for.Jun.StC.NBS","for.Jul.StC.NBS","for.Aug.StC.NBS","for.Sep.StC.NBS","for.Oct.StC.NBS","for.Nov.StC.NBS","for.Dec.StC.NBS"
"26",190.097874833085,410.946831951513,564.352038265512,329.594210115899,198.30296941825,82.4452433244183,-63.3777345459914,-6.98763942244605,-23.8633968614409,66.0008844958979,136.459580250937,109.565224966217
"27",70.0285056603591,514.752722878057,488.580293062558,260.656650995063,269.636963545584,0.259737948114207,-147.305505409209,-62.3511630180462,-64.9504148985394,496.406255067356,153.02342992737,107.814917718485
"28",510.823715547513,243.264878782347,576.976109775823,562.034631239029,139.907262978033,5.12453515194159,-83.790513853155,-48.4603454791003,-62.8662510387917,21.1515053572727,66.4143285203818,130.723102952215
"29",77.2702070242312,478.414051465373,370.040938101236,320.392522803395,155.116070332547,-31.1879337086766,-109.927096091319,-95.8868779125064,112.429300277194,116.74905589803,197.804943060592,269.765010219324
"30",160.733902704116,363.061469128167,700.961105720042,728.472377249365,136.807996916575,23.1855728965398,-106.430617592495,-46.0107810610029,-67.925437822907,52.310320248919,155.565894878535,492.768507553961
"31",108.582454571284,232.077718169975,918.892227548125,1197.08558071368,102.627813105468,74.0787282761809,-26.2023647203552,57.8426656971459,-0.0740934746458208,109.606459154008,40.4358121253587,427.387314217315
"32",205.414362514184,132.198625417425,844.275614935866,483.040065142387,183.068111111801,62.2117054870359,-0.803712957231667,-3.85367169911085,0.194726775018424,101.10547126849,761.915621014003,295.659161471738
"33",930.644941518966,1044.34389624051,570.298073942915,672.022144916921,810.757381568814,68.3270683981053,-3.09287063615365,-26.8435999640176,117.486599764349,174.270502407991,132.499145450366,132.750516982326
"34",508.762889297593,488.314979111466,657.504019111938,570.988821321458,229.733528434312,-15.1948365763051,-47.5195735746245,7.48859690278304,13.2222675437077,2.55068302243391,225.797114887016,316.084158364482
"35",86.8444502883014,309.610551915082,219.999633313682,929.445928501459,113.187939440615,347.588138071695,-67.9365391048058,-0.710812082098244,212.601929736145,159.602892227849,-1.1630649791906,138.893885918392
"36",220.716686033385,116.579753569782,629.852538060755,509.600604159374,68.7113843881302,111.266850048898,-51.7326996610074,-38.5262348472254,43.4759082948435,40.1915504437514,95.7579118810451,719.881416113275
"37",148.610889583165,151.305700521119,984.901362068886,1167.41193030492,252.14694926942,-0.0611409888548025,-70.4430655269242,-81.7324491320564,2.85445733999074,303.045966380362,148.761736115606,445.474988571126
"38",38.8039452251343,51.8741689485145,425.64348421128,802.30038259386,130.630319095268,-25.9414445260143,-59.5345285013645,-123.312834987608,37.145490802086,48.2363655593123,126.053974277452,181.370030833648
"39",105.314630611065,49.7792012397932,1161.91406737266,756.570128135138,46.0217138505543,15.7528913989953,-79.2577034281005,-65.0667198517385,-4.45955227934595,82.0047797790999,83.2898422490666,154.622938099303
"40",369.800640775224,457.811571814769,272.874025779517,580.638131768952,13.5955149144738,17.3834903681026,-131.590442907032,95.2447623732068,-64.8424719197336,94.5615899466553,220.053332049677,238.684662460891
"41",560.325695540632,662.18453817513,758.091065618639,413.51379681438,279.89919741797,101.564641968701,5.19633201782675,-42.6507177485846,-47.9406858396002,244.970245565644,305.722378645088,372.060280523026
"42",136.64907228894,167.362673414553,790.185610042098,821.041319461646,209.313500366546,354.464215269717,35.4472492359307,-90.5905287637121,103.377505529476,-54.1529322278593,452.678923736708,50.5367716397454
"43",42.4587232457413,149.061159964042,581.234341125731,844.311954397981,442.534914934717,280.129664798147,37.9150636269599,-95.9471745700749,-1.93303893380383,89.9406402262967,363.300094421421,642.971041822828
"44",54.1751214117647,27.2016399844653,586.397862218302,401.179038985018,200.740660551365,-50.7808960053187,-55.103728516445,-31.6426456803312,-24.4661094473897,19.2664892830399,410.831693673951,88.4298549897399
"45",253.535194973613,579.836974406387,542.378249097836,1352.19363188659,156.881616570083,40.3088523883624,-61.9274212134746,-67.5246525507769,-10.1656192885519,79.5752137285138,152.917898834561,375.286242900232
"46",157.31973359438,2490.94715010303,388.400169099607,195.441256570309,32.8629946799345,188.850460633725,-25.1032523839659,110.922648706124,21.3994865416295,288.250466683195,716.450968499909,580.538424723622
"47",744.032555963121,1.19163332751723,410.748448486294,479.306374870743,199.333557168026,213.061519440869,-15.4221107096225,-39.8538339527313,49.2298727704075,5.85971974931288,314.7486522168,88.0825868710259
"48",307.618905049354,187.251598133678,606.519706992355,880.532423693304,237.111595425998,76.0272279724903,-3.32804426910396,-41.3364888296352,15.68111320826,64.3992952186347,139.466375358446,177.134133101535
"49",153.200870834682,593.819093025222,576.641665733516,170.593595367511,51.6746753264537,-39.597366115774,-87.434574984299,-37.9427171285128,27.0233121700605,85.3776292030082,125.930006835393,215.276600685081
"50",259.943899133801,34.1661979834785,560.506337973805,356.709975308974,350.209188486123,5.46095393938562,1.68004991465118,-40.2732772313371,16.0763803146188,-23.7849305788446,148.044501407022,242.038233023977
